renda,consumo,valor,maquina
2261.15,8.333333333,4.386,1
721.01,5,3.85,0
1477.13,3.333333333,3.81,0
16095.44,3.333333333,6.723,0
5820.05,3.333333333,2.988,1
2504.5,3.333333333,3.048,0
1982.62,5,4,0
820.67,3.333333333,3.45,0
1571.97,5,3.928,0
2542.28,5,3.85,0
1419.65,5,4.004,1
1268.84,5,3.966,0
1050.56,6,4.073333333,0
2824.04,3.333333333,3.735,0
2456.24,5,6.4,0
1010.01,5,3.85,0
7673.19,3.333333333,3.078,0
13130.99,5,5.05,0
6978.66,3.333333333,3,0
11160.45,3.333333333,3,0
5421.62,8.333333333,7.8,1
6082.41,3.333333333,3.6,0
4856.57,3.333333333,3.6,0
1949.32,3.333333333,2.988,0
1019.73,3.333333333,6.3,0
1283.98,5,3.85,1
1424.02,3.333333333,5.7,1
1504.71,3.333333333,3.735,0
1933.77,3.333333333,3.735,0
722.12,5,3.85,0
1637.28,5,3.85,0
3725.5,5.666666667,8.482941176,1
6865,7.333333333,13.60909091,0
3538.45,3.333333333,3.735,1
1734.32,5,7.072,0
2115.41,5,6.93,0
1716.21,3.333333333,6.3,0
1688.25,3.333333333,8.406,0
2541.28,5,6.93,0
1256.97,5,3.928,0
2009.85,3.333333333,6.723,0
8183.41,5,3.928,0
1492.57,5,1.93,0
5207.89,6.666666667,1.8855,0
2902.96,11.33333333,2.442352941,0
2059.64,3.333333333,3.735,1
838.06,6,4,0
1362.76,5,5.03,0
1820.53,3.333333333,4.2,0
5285.49,3.333333333,6,1
4595.86,5,4,0
1040,8.333333333,4.386,0
1064.18,5,3.85,0
2347.66,10,3.735,1
814.47,3.333333333,6.723,0
1924.08,3.666666667,5.181818182,0
2445.93,5,3.85,1
1707.97,3.333333333,3.735,1
1320.59,3.666666667,3.766363636,1
2576.44,3.333333333,3.885,1
2955.38,3.333333333,3.735,1
1497.57,6,3.833333333,0
3238.08,5,3.85,0
924.48,5,3.85,0
1673.86,5,3.85,1
8973.05,6,3.9,1
1920.63,3.333333333,3.735,0
5513.22,5.333333333,3.24375,0
3267.24,5.666666667,4.007647059,0
659.42,3.333333333,5.1,0
5016.65,8.333333333,4.386,0
414.81,11.66666667,3.857142857,0
1684.61,25,3.85,0
4150.5,5,4,0
578.17,5,3.85,0
2354.9,5,3.98,0
2230.24,3.333333333,3.585,0
1671.65,8.333333333,4.386,0
10529.36,10,3.7,1
2425.05,10,3.5,0
8139.9,5.666666667,4.007647059,1
8011.08,3.333333333,2.988,1
10294.28,3.333333333,3.735,1
10662.61,5,4.4,0
4237.89,3.333333333,3,0
547.98,3.333333333,3.6,0
671.13,3.333333333,3.81,0
1006.37,3.333333333,3.6,0
3497.59,3.333333333,3.735,1
880.24,10,1.6,0
1991.44,3.333333333,3.735,1
2003.7,3.333333333,3.735,0
1243.2,6,2.008333333,0
1587.06,6,1.901666667,1
1133.94,6,1.901666667,1
1256.18,8,1.5125,0
929.14,18,2.002222222,0
1583.31,6,2.008333333,0
